Date,Open,High,Low,Close,Adj Close,Volume
2019-03-27,242.000000,242.500000,240.500000,241.500000,231.974594,22590089
2019-03-28,240.500000,242.500000,240.000000,242.000000,232.454865,13933054
2019-03-29,243.000000,245.500000,240.500000,245.500000,235.816818,28220810
2019-04-01,251.000000,251.000000,245.000000,245.500000,235.816818,35330656
2019-04-02,249.500000,249.500000,246.000000,246.000000,236.297104,24105053
2019-04-03,249.000000,249.000000,246.500000,246.500000,236.777374,24945323
2019-04-08,251.000000,253.000000,250.500000,253.000000,243.020996,45184821
2019-04-09,253.000000,254.000000,252.000000,254.000000,243.981567,22355674
2019-04-10,253.000000,254.500000,252.000000,254.000000,243.981567,25849934
2019-04-11,253.000000,254.000000,251.500000,252.000000,242.060440,24896840
2019-04-12,251.500000,253.000000,251.000000,252.000000,242.060440,13548148
2019-04-15,255.000000,256.000000,254.000000,255.500000,245.422394,17192002
2019-04-16,257.000000,257.000000,255.500000,257.000000,246.863235,19652648
2019-04-17,260.000000,263.000000,259.500000,261.500000,251.185745,37864191
2019-04-18,264.000000,266.000000,263.500000,264.500000,254.067413,38006795
2019-04-19,269.000000,269.500000,263.500000,264.500000,254.067413,44658699
2019-04-22,266.500000,267.500000,265.000000,266.000000,255.508255,24967393
2019-04-23,266.500000,268.000000,266.000000,268.000000,257.429352,25336847
2019-04-24,270.000000,270.000000,267.500000,269.000000,258.389923,26449755
2019-04-25,268.500000,269.000000,267.000000,267.500000,256.949097,32386724
2019-04-26,262.000000,263.000000,257.500000,260.000000,249.744904,47518804
2019-04-29,260.000000,262.000000,258.500000,259.500000,249.264633,31126618
2019-04-30,260.000000,260.500000,258.000000,259.000000,248.784348,33799419
2019-05-02,261.500000,262.500000,258.500000,259.000000,248.784348,27091394
2019-05-03,262.000000,265.000000,260.500000,265.000000,254.547699,29840246
2019-05-06,260.000000,260.000000,258.000000,259.000000,248.784348,32823187
2019-05-07,259.500000,263.000000,259.000000,262.500000,252.146301,25686126
2019-05-08,260.000000,261.500000,259.500000,260.000000,249.744904,25542364
2019-05-09,259.500000,259.500000,256.000000,256.500000,246.382950,33587574
2019-05-10,257.000000,259.000000,255.000000,256.000000,245.902679,18617212
2019-05-13,253.000000,254.000000,249.500000,250.500000,240.619614,28284535
2019-05-14,247.500000,251.000000,245.000000,248.500000,238.698502,45055708
2019-05-15,251.000000,252.000000,249.000000,249.000000,239.178772,36825479
2019-05-16,248.500000,249.500000,246.000000,247.000000,237.257660,29713519
2019-05-17,249.000000,249.000000,241.500000,241.500000,231.974594,38647856
2019-05-20,242.500000,243.000000,238.000000,238.000000,228.612656,39157661
2019-05-21,233.500000,236.000000,232.500000,234.000000,224.770416,80042775
2019-05-22,236.500000,240.500000,235.500000,238.000000,228.612656,34622034
2019-05-23,233.500000,233.500000,230.000000,230.000000,220.928177,58752627
2019-05-24,230.000000,234.000000,230.000000,233.000000,223.809860,36000789
2019-05-27,234.000000,235.000000,231.000000,231.000000,221.888733,35562033
2019-05-28,232.000000,232.000000,230.500000,230.500000,221.408463,95240033
2019-05-29,228.000000,230.500000,227.000000,229.500000,220.447906,26533236
2019-05-30,230.000000,231.500000,229.000000,231.000000,221.888733,28500328
2019-05-31,232.000000,237.500000,231.000000,235.500000,226.211243,46070338
2019-06-03,235.500000,238.500000,232.000000,238.000000,228.612656,31054092
2019-06-04,237.500000,238.000000,233.000000,233.000000,223.809860,24443428
2019-06-05,238.000000,238.000000,234.000000,235.000000,225.730972,29139584
2019-06-06,231.500000,232.000000,229.500000,232.000000,222.849304,34651731
2019-06-10,237.500000,240.000000,234.500000,240.000000,230.533752,35373888
2019-06-11,240.000000,246.000000,239.000000,244.500000,234.856262,31965670
2019-06-12,244.500000,247.500000,243.000000,246.000000,236.297104,29675556
2019-06-13,242.500000,244.000000,240.000000,240.000000,230.533752,32981724
2019-06-14,238.500000,239.500000,236.000000,236.000000,226.691528,31951556
2019-06-17,231.500000,235.000000,230.500000,233.000000,223.809860,51017012
2019-06-18,234.000000,235.500000,233.000000,235.500000,226.211243,28578087
2019-06-19,242.500000,244.000000,240.500000,244.000000,234.375992,50164372
2019-06-20,242.000000,245.500000,241.000000,245.000000,235.336548,37836291
2019-06-21,248.000000,248.500000,246.000000,248.500000,238.698502,61164304
2019-06-24,241.000000,242.000000,240.000000,241.000000,239.194763,43300507
2019-06-25,241.000000,241.500000,237.000000,238.500000,236.713486,28559283
2019-06-26,235.000000,236.500000,234.000000,234.500000,232.743439,27607041
2019-06-27,236.000000,241.500000,236.000000,240.500000,238.698502,42007834
2019-06-28,241.500000,241.500000,238.000000,239.000000,237.209732,25962203
2019-07-01,245.500000,250.000000,245.000000,248.500000,246.638580,66307875
2019-07-02,249.500000,250.000000,247.500000,249.000000,247.134827,24181202
2019-07-03,244.000000,245.000000,242.000000,242.500000,240.683517,29449774
2019-07-04,244.500000,245.000000,242.500000,244.000000,242.172287,17481240
2019-07-05,244.500000,245.000000,241.500000,243.000000,241.179779,22867074
2019-07-08,240.000000,244.500000,240.000000,242.500000,240.683517,27787909
2019-07-09,241.500000,243.000000,240.500000,242.000000,240.187271,16418987
2019-07-10,243.000000,247.000000,243.000000,247.000000,245.149811,23812131
2019-07-11,250.000000,250.000000,247.500000,250.000000,248.127335,31160289
2019-07-12,252.000000,252.000000,249.500000,250.500000,248.623596,23479432
2019-07-15,251.000000,254.500000,249.500000,254.500000,252.593628,29727300
2019-07-16,254.000000,256.500000,253.500000,256.000000,254.082397,21361249
2019-07-17,254.000000,254.000000,251.000000,252.000000,250.112366,25573648
2019-07-18,252.000000,254.500000,251.500000,254.000000,252.097382,20842575
2019-07-19,259.500000,261.000000,259.000000,259.000000,257.059937,59709798
2019-07-22,263.000000,264.000000,262.000000,264.000000,262.022461,31522639
2019-07-23,265.500000,266.500000,262.500000,264.000000,262.022461,29273223
2019-07-24,266.500000,266.500000,263.000000,265.000000,263.014984,23734039
2019-07-25,264.000000,265.000000,261.500000,265.000000,263.014984,30433545
2019-07-26,261.000000,262.500000,261.000000,261.000000,259.044952,20438071
2019-07-29,260.000000,262.000000,259.500000,261.000000,259.044952,17509320
2019-07-30,262.500000,263.000000,260.000000,260.000000,258.052429,22670612
2019-07-31,260.000000,260.000000,257.000000,259.500000,257.556183,31635601
2019-08-01,257.500000,257.500000,255.500000,256.500000,254.578659,30017526
2019-08-02,252.000000,253.500000,250.500000,251.500000,249.616104,54021644
2019-08-05,251.000000,252.000000,245.500000,246.500000,244.653564,51535721
2019-08-06,240.000000,250.000000,240.000000,248.500000,246.638580,58625879
2019-08-07,250.000000,250.500000,246.500000,248.000000,246.142319,29435460
2019-08-08,248.000000,254.000000,248.000000,253.500000,251.601120,29725266
2019-08-12,254.500000,254.500000,251.000000,251.000000,249.119858,21794603
2019-08-13,249.000000,249.500000,246.500000,246.500000,244.653564,23121107
2019-08-14,252.500000,254.000000,249.500000,249.500000,247.631088,35216703
2019-08-15,247.000000,248.500000,246.000000,248.000000,246.142319,27624412
2019-08-16,249.500000,252.000000,248.000000,250.000000,248.127335,25370715
2019-08-19,251.500000,253.000000,250.500000,252.000000,250.112366,24060514
2019-08-20,254.000000,254.500000,252.500000,254.500000,252.593628,19960494
2019-08-21,254.500000,255.000000,253.000000,254.500000,252.593628,20269296
2019-08-22,257.000000,257.500000,254.000000,254.000000,252.097382,21900840
2019-08-23,253.500000,254.500000,253.000000,254.000000,252.097382,14166877
2019-08-26,249.000000,250.500000,248.500000,248.500000,246.638580,31678620
2019-08-27,250.500000,251.000000,248.500000,250.000000,248.127335,50234951
2019-08-28,250.500000,253.000000,250.500000,252.000000,250.112366,15132882
2019-08-29,253.000000,254.000000,251.000000,254.000000,252.097382,19587767
2019-08-30,256.500000,259.000000,256.000000,259.000000,257.059937,35184201
2019-09-02,258.000000,258.000000,256.000000,257.500000,255.571167,14614854
2019-09-03,256.500000,258.000000,253.000000,254.000000,252.097382,25762495
